1,1274,-3193,1943,23.0,26.4,352.41,70.0,51.0|0.409
1,1283,-3194,1943,23.0,26.4,352.41,70.0,51.0|0.409
1,1260,-3195,1948,23.0,26.4,352.41,70.0,51.0|0.41
1,1261,-3192,1952,23.0,26.4,352.41,70.0,51.0|0.41
1,1377,-3214,1930,23.0,26.4,352.41,70.0,51.0|0.408
1,1383,-3215,1929,23.0,26.4,352.41,70.0,51.0|0.407
1,1383,-3215,7,23.0,26.4,352.41,70.0,51.0|0.407
1,1392,-3223,1810,23.0,26.4,352.41,70.0,51.0|0.407
1,1429,-3228,1929,23.0,26.4,352.41,70.0,51.0|0.408
1,1487,-3240,1927,23.0,26.4,352.41,70.0,51.0|0.407
1,1487,-3240,1927,23.0,26.4,352.41,70.0,51.0|0.41
1,1487,-3240,1927,23.0,26.4,352.41,70.0,51.0|0.407
1,97,-3275,2104,23.0,26.4,352.41,70.0,51.0|0.408
1,1553,-3271,2198,23.0,26.4,352.41,70.0,51.0|0.409
1,6,-3258,2066,23.0,26.4,352.41,70.0,51.0|0.407
1,6,-3258,2066,23.0,26.4,352.41,70.0,51.0|0.408
1,1778,-3239,2178,23.0,26.4,352.41,70.0,51.0|0.407
1,17,-3239,2051,23.0,26.4,352.41,70.0,51.0|0.407
1,1940,-3227,2065,23.0,26.4,352.41,70.0,51.0|0.408
1,1988,-3216,2065,23.0,26.4,352.41,70.0,51.0|0.409
1,2034,-3216,2030,23.0,26.4,352.41,70.0,51.0|0.408
1,2184,-3195,2192,23.0,26.4,352.41,70.0,51.0|0.408
1,2188,-3191,2195,23.0,26.4,352.41,70.0,51.0|0.408
1,2188,-3191,2195,23.0,26.4,352.41,70.0,51.0|0.406
1,4457,-3312,2052,23.0,26.4,352.41,70.0,51.0|0.409
1,4457,-3312,2052,23.0,26.4,352.41,70.0,51.0|0.407
1,4352,-3200,8,23.0,26.4,352.41,70.0,51.0|0.407
1,4361,-3196,2168,23.0,26.4,352.41,70.0,51.0|0.409
1,282,-3200,2098,23.0,26.4,352.41,70.0,51.0|0.408
1,4363,-3311,2021,23.0,26.4,352.41,70.0,51.0|0.408
1,2847,-3186,1982,23.0,26.4,352.41,70.0,51.0|0.407
1,2832,-3167,2026,23.0,26.4,352.41,70.0,51.0|0.408
1,2983,-3158,1996,23.0,26.4,352.41,70.0,51.0|0.407
1,3029,-3147,1984,23.0,26.4,352.41,70.0,51.0|0.407
1,3065,-3116,1984,23.0,26.4,352.41,70.0,51.0|0.407
1,3128,-3075,1973,23.0,26.4,352.41,70.0,51.0|0.408
1,3191,-3058,1968,23.0,26.4,352.41,70.0,51.0|0.409
1,3266,-2906,1969,23.0,26.4,352.41,70.0,51.0|0.412
1,3324,-2814,1969,23.0,26.4,352.41,70.0,51.0|0.407
1,4420,-2752,1969,23.0,26.4,352.41,70.0,51.0|0.408
1,4420,-2752,1969,23.0,26.4,352.41,70.0,51.0|0.41
1,4420,-2752,1969,23.0,26.4,352.41,70.0,51.0|0.41
1,276,-2696,1969,23.0,26.4,352.41,70.0,51.0|0.406
1,276,-2696,1969,23.0,26.4,352.41,70.0,51.0|0.407
1,276,-2696,1969,23.0,26.4,352.41,70.0,51.0|0.409
1,276,-2696,1969,23.0,26.4,352.41,70.0,51.0|0.407
1,276,-2696,1969,23.0,26.4,352.41,70.0,51.0|0.408
1,276,-2696,1969,23.0,26.4,352.41,70.0,51.0|0.408
1,276,-2696,1969,23.0,26.4,352.41,70.0,51.0|0.411
1,276,-2696,1969,23.0,26.4,352.41,70.0,51.0|0.41
1,276,-2696,1969,23.0,26.4,352.41,70.0,51.0|0.408
1,276,-2696,1969,23.0,26.4,352.41,70.0,51.0|0.408
1,276,-2696,1969,23.0,26.4,352.41,70.0,51.0|0.408
1,4424,-2166,1969,23.0,26.4,352.41,70.0,51.0|0.408
1,4424,-2140,1969,23.0,26.4,352.41,70.0,51.0|0.406
1,276,-2106,1969,23.0,26.4,352.41,70.0,51.0|0.408
1,276,-2106,1969,23.0,26.4,352.41,70.0,51.0|0.412
1,276,-2106,1969,23.0,26.4,352.41,70.0,51.0|0.41
1,4425,-1850,1979,23.0,26.4,352.41,70.0,51.0|0.406
1,4424,-1816,1959,23.0,26.4,352.41,70.0,51.0|0.408
1,4425,-1815,1950,23.0,26.4,352.41,70.0,51.0|0.408
1,4425,-1815,1950,23.0,26.4,352.41,70.0,51.0|0.409
1,281,-1662,1984,23.0,26.4,352.41,70.0,51.0|0.408
1,281,-1633,1969,23.0,26.4,352.41,70.0,51.0|0.408
1,4425,-1554,2004,23.0,26.4,352.41,70.0,51.0|0.408
1,4425,-1514,2018,23.0,26.4,352.41,70.0,51.0|0.408
1,4425,-1485,2032,23.0,26.4,352.41,70.0,51.0|0.408
1,4425,-1485,2037,23.0,26.4,352.41,70.0,51.0|0.406
1,281,-1485,2017,23.0,26.4,352.41,70.0,51.0|0.407
1,281,-1485,2019,23.0,26.4,352.41,70.0,51.0|0.408
1,4425,-1485,2020,23.0,26.4,352.41,70.0,51.0|0.408
1,4425,-1485,2028,23.0,26.4,352.41,70.0,51.0|0.407
1,4425,-1506,2014,23.0,26.4,352.41,70.0,51.0|0.408
1,4425,-1508,1997,23.0,26.4,352.41,70.0,51.0|0.409
1,4425,-1486,2027,23.0,26.4,352.41,70.0,51.0|0.406
1,4425,-1486,2036,23.0,26.4,352.41,70.0,51.0|0.409
1,4425,-1506,2016,23.0,26.4,352.41,70.0,51.0|0.407
1,4425,-1506,2016,23.0,26.4,352.41,70.0,51.0|0.408
1,4425,-1506,2026,23.0,26.4,352.41,70.0,51.0|0.407
1,4425,-1506,2026,23.0,26.4,352.41,70.0,51.0|0.408
1,4425,-1506,2011,23.0,26.4,352.41,70.0,51.0|0.407
1,4425,-1507,1980,23.0,26.4,352.41,70.0,51.0|0.407
1,4425,-1505,2016,23.0,26.4,352.41,70.0,51.0|0.408
1,4425,-1508,1989,23.0,26.4,352.41,70.0,51.0|0.407
1,4425,-1505,1989,23.0,26.4,352.41,70.0,51.0|0.408
1,4425,-1507,1983,23.0,26.4,352.41,70.0,51.0|0.408
1,4425,-1508,1978,23.0,26.4,352.41,70.0,51.0|0.407
1,4425,-1507,2009,23.0,26.4,352.41,70.0,51.0|0.404
1,4425,-1507,2012,23.0,26.4,352.41,70.0,51.0|0.408
1,4425,-1506,1999,23.0,26.4,352.41,70.0,51.0|0.408
1,4425,-1506,1999,23.0,26.4,352.41,70.0,51.0|0.407
1,281,-1486,2027,23.0,26.4,352.41,70.0,51.0|0.408
